
 PRINT ELEMENT TABLE ITEMS PER ELEMENT
 
  ***** POST1 ELEMENT TABLE LISTING *****                                      
 
    STAT     MIXED   
    ELEM     MEMSTR  
      21  0.12352E+006
      22  0.12295E+006
      23  0.12354E+006
      24  0.12369E+006
      25  0.12365E+006
      26  0.12323E+006
      27  0.12168E+006
      28  0.11539E+006
      29   95375.     
      30   42703.     
      31   21493.     
      32   36243.     
      33  0.10345E+006
      34  0.18172E+006
      35  0.20120E+006
      36  0.20739E+006
      37  0.20894E+006
      38  0.20935E+006
      39  0.20940E+006
      40  0.20923E+006
      41  0.20863E+006
      42  0.20904E+006

 MINIMUM VALUES
 ELEM          31
 VALUE    21493.     

 MAXIMUM VALUES
 ELEM          39
 VALUE   0.20940E+006
